,ds,y
373,2022-09-29,16158
374,2022-09-30,8681
375,2022-10-01,8169
376,2022-10-02,13345
377,2022-10-03,32825
378,2022-10-04,1089
379,2022-10-05,976
380,2022-10-06,9454
381,2022-10-07,15469
382,2022-10-08,18035
383,2022-10-09,14442
384,2022-10-10,13685
385,2022-10-11,1059
386,2022-10-12,1036
387,2022-10-13,15380
388,2022-10-14,14928
389,2022-10-15,14297
390,2022-10-16,14141
391,2022-10-17,8745
392,2022-10-18,668
393,2022-10-19,3562
394,2022-10-20,15600
395,2022-10-21,14208
396,2022-10-22,13810
397,2022-10-23,13091
398,2022-10-24,11829
399,2022-10-25,836
400,2022-10-26,1246
401,2022-10-27,16021
402,2022-10-28,15523
403,2022-10-29,14247
404,2022-10-30,15645
405,2022-10-31,15033
406,2022-11-01,1711
407,2022-11-02,2152
408,2022-11-03,16760
409,2022-11-04,684
410,2022-11-05,489
411,2022-11-06,20068
412,2022-11-07,13347
413,2022-11-08,597
414,2022-11-09,400
415,2022-11-10,60
416,2022-11-11,22460
417,2022-11-12,8193
418,2022-11-13,56767
419,2022-11-14,16999
420,2022-11-15,1689
421,2022-11-16,1497
422,2022-11-17,16318
423,2022-11-18,15244
424,2022-11-19,14195
425,2022-11-20,13521
426,2022-11-21,10260
427,2022-11-22,23
428,2022-11-23,132355
429,2022-11-24,14201
430,2022-11-25,1215
431,2022-11-26,1155
432,2022-11-27,16780
433,2022-11-28,15020
434,2022-11-29,16471
435,2022-11-30,14489
436,2022-12-01,12347
437,2022-12-02,789
438,2022-12-03,1319
439,2022-12-04,15579
440,2022-12-05,14745
441,2022-12-06,14696
442,2022-12-07,13791
443,2022-12-08,8784
444,2022-12-09,583
445,2022-12-10,3467
446,2022-12-11,17122
447,2022-12-12,13518
448,2022-12-13,11550
449,2022-12-14,8312
450,2022-12-15,7679
451,2022-12-16,1055
452,2022-12-17,1050
453,2022-12-18,13522
454,2022-12-19,14320
455,2022-12-20,14547
456,2022-12-21,16397
457,2022-12-22,16672
458,2022-12-23,1353
459,2022-12-24,1427
460,2022-12-25,15491
461,2022-12-26,14438
462,2022-12-27,14523
463,2022-12-28,13390
464,2022-12-29,11481
465,2022-12-30,1050
466,2022-12-31,1157
467,2023-01-01,14067
468,2023-01-02,14532
469,2023-01-03,14172
470,2023-01-04,12305
471,2023-01-05,12131
472,2023-01-06,797
473,2023-01-07,926
474,2023-01-08,13447
475,2023-01-09,12340
476,2023-01-10,12857
477,2023-01-11,11968
478,2023-01-12,7446
479,2023-01-13,574
480,2023-01-14,669
481,2023-01-15,4510
482,2023-01-16,8315
483,2023-01-17,8659
484,2023-01-18,8411
485,2023-01-19,7539
486,2023-01-20,990
487,2023-01-21,629
488,2023-01-22,6687
489,2023-01-23,17167
490,2023-01-24,14599
491,2023-01-25,14135
492,2023-01-26,13391
493,2023-01-27,1371
494,2023-01-28,825
495,2023-01-29,16453
496,2023-01-30,16629
497,2023-01-31,14726
498,2023-02-01,15023
499,2023-02-02,14035
500,2023-02-03,854
501,2023-02-04,1007
502,2023-02-05,11329
503,2023-02-06,15968
504,2023-02-07,15449
505,2023-02-08,14264
506,2023-02-09,13679
507,2023-02-10,661
508,2023-02-11,1659
509,2023-02-12,15431
510,2023-02-13,14303
511,2023-02-14,12968
512,2023-02-15,12658
513,2023-02-16,12837
514,2023-02-17,923
515,2023-02-18,954
516,2023-02-19,16310
517,2023-02-20,16535
518,2023-02-21,15951
519,2023-02-22,14830
520,2023-02-23,14021
521,2023-02-24,1319
522,2023-02-25,1365
523,2023-02-26,14948
524,2023-02-27,15311
525,2023-02-28,15036
526,2023-03-01,14444
527,2023-03-02,16266
